|Unnamed: 0|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary|player_old
169|169|1938|Ed Delahanty|3rd|132|50.4%|235.0|64.0|16.0|69.6|48.6|59.1|53.4|1837.0|7510.0|1600.0|2597.0|101.0|1466.0|456.0|742.0|0.346|0.411|0.505|0.917|152.0||||||||| |||||*O3746/958H|Ed Delahanty HOF
170|170|1938|Ed Walsh|3rd|110|42.0%|146.0|52.0|14.0|65.9|62.3|64.1|61.4|459.0|1085.0|92.0|210.0|3.0|68.0|14.0|46.0|0.194|0.231|0.255|0.486|51.0|195.0|126.0|1.82|146.0|1.0|430.0|315.0|35.0|2964.1|2346.0|23.0|617.0|1736.0|*1/H798|Ed Walsh HOF
171|171|1938|Johnny Evers|3rd|91|34.7%|34.0|24.0|18.0|47.7|33.3|40.5|57.1|1784.0|6137.0|919.0|1659.0|12.0|536.0|324.0|778.0|0.27|0.356|0.334|0.69|106.0||||||||| |||||*4/56H9|Johnny Evers HOF
172|172|1938|Jimmy Collins|3rd|79|30.2%|43.0|26.0|14.0|53.3|38.6|45.9|55.7|1725.0|6795.0|1055.0|1999.0|65.0|983.0|194.0|426.0|0.294|0.343|0.409|0.752|113.0||||||||| |||||*5/OH64|Jimmy Collins HOF
173|173|1938|Rabbit Maranville|2nd|73|27.9%|59.0|30.0|23.0|43.9|30.5|37.2|55.4|2670.0|10078.0|1256.0|2605.0|28.0|884.0|291.0|839.0|0.258|0.318|0.34|0.658|82.0||||||||| |||||*6*4/H5|Rabbit Maranville HOF
174|174|1938|Roger Bresnahan|3rd|67|25.6%|15.0|28.0|17.0|42.0|30.4|36.2|44.2|1446.0|4481.0|682.0|1252.0|26.0|530.0|212.0|714.0|0.279|0.386|0.377|0.764|126.0|4.0|1.0|3.93|108.0|1.649|9.0|6.0|0.0|50.1|68.0|1.0|15.0|15.0|*2O8H593/4716|Roger Bresnahan HOF
175|175|1938|Fred Clarke|3rd|63|24.0%|86.0|50.0|21.0|67.9|36.2|52.1|53.4|2246.0|8584.0|1622.0|2678.0|67.0|1015.0|509.0|875.0|0.312|0.386|0.429|0.814|133.0||||||||| |||||*O*7H/6958|Fred Clarke HOF
176|176|1938|Mordecai Brown|3rd|54|20.6%|169.0|56.0|14.0|58.3|43.6|51.0|61.4|493.0|1143.0|93.0|235.0|2.0|73.0|8.0|44.0|0.206|0.236|0.248|0.483|43.0|239.0|130.0|2.06|138.0|1.066|481.0|332.0|49.0|3172.1|2708.0|43.0|673.0|1375.0|*1/H4879|Mordecai Brown HOF
177|177|1938|Miller Huggins|2nd|48|18.3%|12.0|25.0|13.0|35.4|25.4|30.4|57.1|1586.0|5558.0|948.0|1474.0|9.0|318.0|324.0|1003.0|0.265|0.382|0.314|0.696|107.0||||||||| |||||*4H/5|Miller Huggins HOF
178|178|1938|Rogers Hornsby|3rd|46|17.6%|350.0|76.0|23.0|127.3|74.1|100.7|57.1|2259.0|8173.0|1579.0|2930.0|301.0|1584.0|135.0|1038.0|0.358|0.434|0.577|1.01|175.0||||||||| |||||*4*65H3/978|Rogers Hornsby HOF
179|179|1938|Ray Schalk|3rd|45|17.2%|56.0|25.0|18.0|33.2|25.8|29.5|44.2|1762.0|5306.0|579.0|1345.0|11.0|593.0|177.0|638.0|0.253|0.34|0.316|0.656|83.0||||||||| |||||*2H|Ray Schalk HOF
180|180|1938|Ross Youngs|3rd|40|15.3%|71.0|32.0|10.0|32.7|30.8|31.8|56.7|1211.0|4627.0|812.0|1491.0|42.0|592.0|153.0|550.0|0.322|0.399|0.441|0.839|130.0||||||||| |||||*9/4H87|Ross Youngs HOF
181|181|1938|Eddie Plank|2nd|38|14.5%|187.0|71.0|17.0|90.8|51.1|71.0|61.4|630.0|1607.0|130.0|331.0|3.0|122.0|13.0|71.0|0.206|0.25|0.245|0.495|48.0|326.0|194.0|2.35|122.0|1.119|623.0|529.0|23.0|4495.2|3958.0|42.0|1072.0|2246.0|*1/H|Eddie Plank HOF
182|182|1938|Herb Pennock|2nd|37|14.1%|92.0|36.0|22.0|45.5|36.9|41.2|61.4|620.0|1214.0|108.0|232.0|4.0|103.0|1.0|94.0|0.191|0.253|0.235|0.488|31.0|241.0|162.0|3.6|106.0|1.348|617.0|419.0|37.0|3571.2|3900.0|128.0|916.0|1227.0|*1/H|Herb Pennock HOF
183|183|1938|Joe McGinnity|2nd|36|13.7%|164.0|50.0|10.0|59.0|54.1|56.6|61.4|477.0|1297.0|109.0|251.0|0.0|90.0|26.0|34.0|0.194|0.221|0.225|0.446|28.0|246.0|142.0|2.66|121.0|1.188|465.0|381.0|24.0|3441.1|3276.0|52.0|812.0|1068.0|*1/O9H845|Joe McGinnity HOF
