|year|player|year_on_ballot|votes|votes_pct|hof_monitor|hof_standard|experience|WAR_career|WAR_peak7|JAWS|JAWS_pos|G|AB|R|H|HR|RBI|SB|BB|batting_avg|onbase_perc|slugging_perc|onbase_plus_slugging|onbase_plus_slugging_plus|W|L|earned_run_avg|earned_run_avg_plus|whip|G_p|GS|SV|IP|H_p|HR_p|BB_p|SO_p|pos_summary
16|1966|Ernie Lombardi HOF|8th|34|11.3%|133|42|17|37.8|24.1|30.9|44.2|1853|5855|601|1792|190|990|8|430|.306|.358|.460|.818|126||||||||| |||||*2*H
17|1966|Mel Harder|10th|34|11.3%|51|21|20|44.3|38.0|41.1|61.4|584|1203|89|199|4|93|2|39|.165|.194|.215|.409|7|223|186|3.80|113|1.408|582|433|24|3426.1|3706|161|1118|1161|*1/H
18|1966|Hal Newhouser HOF|3rd|32|10.6%|140|34|17|62.7|52.7|57.7|61.4|492|999|70|201|2|81|3|89|.201|.267|.233|.500|36|207|150|3.06|130|1.311|488|374|26|2993.0|2674|136|1249|1796|*1/H
19|1966|Joe Gordon HOF|8th|31|10.3%|88|31|11|55.8|44.9|50.3|57.1|1566|5707|914|1530|253|975|89|759|.268|.357|.466|.822|120||||||||| |||||*43/H6
20|1966|Bobby Doerr HOF|7th|30|9.9%|96|41|14|51.5|36.9|44.2|57.1|1865|7093|1094|2042|223|1247|54|809|.288|.362|.461|.823|115||||||||| |||||*4/H
21|1966|George Kell HOF|2nd|29|9.6%|90|29|15|37.6|28.1|32.8|55.7|1795|6702|880|2054|78|870|51|621|.306|.367|.414|.781|112||||||||| |||||*53H/749
22|1966|Billy Herman HOF|6th|28|9.3%|147|38|15|57.3|37.7|47.5|57.1|1922|7707|1163|2345|47|839|67|737|.304|.367|.407|.774|112||||||||| |||||*45/3H
23|1966|Bobo Newsom|4th|25|8.3%|69|23|20|47.8|36.4|42.1|61.4|609|1337|87|253|1|102|1|17|.189|.200|.217|.417|10|211|222|3.98|107|1.463|600|483|21|3759.1|3769|206|1732|2082|*1/H
24|1966|Bob Lemon HOF|2nd|21|7.0%|118|34|15|48.2|38.7|43.5|61.4|615|1183|148|274|37|147|2|93|.232|.288|.386|.674|83|207|128|3.23|119|1.337|460|350|22|2850.0|2559|180|1251|1277|*1H/859
25|1966|Mickey Vernon|1st|20|6.6%|72|33|20|35.6|25.7|30.6|53.8|2409|8731|1196|2495|172|1311|137|955|.286|.359|.428|.787|116||||||||| |||||*3H/79
26|1966|Al Dark|1st|17|5.6%|51|26|14|43.9|33.7|38.8|55.4|1828|7219|1064|2089|126|757|59|430|.289|.333|.411|.744|98|0|0|18.00|33|2.000|1|1|0|1.0|1|1|1|0|*6*5H7/4391
27|1966|Tommy Bridges|6th|16|5.3%|81|29|16|50.5|34.6|42.5|61.4|424|1003|84|181|0|74|0|74|.180|.237|.223|.460|19|194|138|3.57|126|1.368|424|362|10|2826.1|2675|181|1192|1674|*1
28|1966|Bobby Thomson|1st|12|4.0%|31|21|15|33.8|27.5|30.6|58.1|1779|6305|903|1705|264|1026|38|559|.270|.332|.462|.794|110||||||||| |||||*8*75H9/43
29|1966|Phil Cavarretta|3rd|9|3.0%|42|22|22|37.0|26.4|31.7|53.8|2030|6754|990|1977|95|920|65|820|.293|.372|.416|.788|118||||||||| |||||*3H897
30|1966|Don Newcombe|1st|7|2.3%|83|28|12|38.9|34.8|36.8|61.4|471|917|99|246|15|109|2|90|.268|.336|.361|.697|83|153|96|3.57|114|1.207|360|305|7|2251.2|2188|255|530|1187|*1H
31|1966|Larry Doby HOF|1st|7|2.3%|81|36|17|56.5|39.4|47.9|58.1|1674|5883|1080|1697|273|1099|64|945|.288|.389|.499|.888|140||||||||| |||||*849H/7635
